id,name
199503,Granit Xhaka
199434,Dušan Tadić
234045,Henry Onyekuru
242997,Linton Maina
201153,Álvaro Borja Morata Martín
235266,Christian Früchtl
243245,Orkun Kökçü
207494,Jesse Lingard
246159,Ethan Laird
188350,Marco Reus
192318,Mario Götze
237286,Aaron Connolly
233164,Arijanet Muric
239978,Dennis Man
225014,Gaetano Castrovilli
242752,Nathan Ferguson
221714,Alfredo Morelos
235454,Malang Sarr
242374,Musa Barrow
241042,Oliver Skipp
168542,David Josué Jiménez Silva
242214,James Sands
220085,Luca Waldschmidt
230767,Renato Júnior Luz Sanches
241497,Colin Dagba
220793,Davinson Sánchez
188152,Oscar dos Santos Emboaba
192387,Ciro Immobile
231512,Lloyd Kelly
241854,Perr Schuurs
241811,Sergio Gómez Martín
201995,Felipe Anderson Pereira Gomes
238359,Marcus Wendel Valle da Silva
189596,Thomas Müller
210008,Adrien Rabiot
233096,Denzel Dumfries
234570,João Pedro Neves Filipe
224540,Emmanuel Boateng
200454,Francisco Alcácer García
210881,John McGinn
202166,Julian Draxler
215785,Keita Baldé
207421,Leandro Trossard
241084,Luis Díaz
211320,Daniele Rugani
227055,Gelson Dany Batalha Martins
242075,Josh Sargent
239207,Maximiliano Gómez
246728,Lassina Traoré
235842,Andrea Pinamonti
247181,Gonzalo Plata
239592,José Juan Macías
204485,Riyad Mahrez
228815,Tyler Roberts
208418,Yannick Carrasco
169588,Jonny Evans
202562,Jérôme Roussillon
246646,Maxence Caqueret
224520,Ryan Kent
180403,Willian Borges da Silva
223689,Wout Weghorst
231936,Ben White
235410,Youssef En-Nesyri
239250,Abel Ruiz Ortega
246791,Manor Solomon
236477,Alexis Claude-Maurice
206585,Kepa Arrizabalaga
238274,Florinel Coman
226161,Marcos Llorente Moreno
200536,Nico Schulz
233605,Pedro Guilherme Abreu dos Santos
233556,Riccardo Orsolini
219809,Tiémoué Bakayoko
224196,Ramy Bensebaini
189511,Sergio Busquets Burgos
202371,Thomas Meunier
203486,Thorgan Hazard
179813,Edinson Cavani
208574,Filip Kostić
243580,Ikoma Loïs Openda
233409,Robert Gumny
235450,Domingos Quina
241168,Giorgi Chakvetadze
210257,Ederson Santana de Moraes
224221,Joachim Andersen
241202,Patson Daka
237000,Reggie Cannon
208330,Adnan Januzaj
177413,Axel Witsel
234833,Florian Müller
242348,Lorenzo Morón García
192448,Marc-André ter Stegen
183898,Ángel Di María
208135,Abdoulaye Doucouré
225309,Nadiem Amiri
235029,Fedor Chalov
221639,Mariano Díaz Mejía
233419,Raphael Dias Belloli
248385,Roberto Piccoli
253102,Adil Aouchiche
212404,Federico Bernardeschi
235173,Ibrahim Sangaré
143076,Alejandro Gómez
190483,Douglas Costa de Souza
242000,Konstantinos Mavropanos
204923,Marcel Sabitzer
209889,Raphaël Guerreiro
240679,Teun Koopmeiners
207948,Bertrand Traoré
198176,Stefan de Vrij
236248,Ben Woodburn
244622,Javier Puado Díaz
222028,Julian Weigl
228819,Matías Vargas
200389,Jan Oblak
197061,Joel Matip
212419,Tyrone Mings
231207,Jhon Lucumi
234399,Johannes Eggestein
199254,João Pedro G. Santos Galvão
243828,Matthew Longstaff
245155,Mohammed Kudus
241095,Nikola Vlašić
202477,Gerard Deulofeu Lázaro
234108,Gonzalo Maroni
220182,Jason Denayer
176635,Mesut Özil
230005,Tom Davies
191043,Alex Sandro Lobo Silva
198219,Lorenzo Insigne
237024,Luca Itter
218339,Mahmoud Dahoud
189332,Jordi Alba Ramos
205069,Juan Bernat Velasco
186345,Kieran Trippier
224294,Lewis Cook
193474,Idrissa Gueye
205569,James Ward-Prowse
225668,Karlan Grant
212977,Niklas Stark
215333,Duván Zapata
199564,Sergio Roberto Carnicer
205659,Alessio Cragno
241686,Manuel Vallejo Galván
233866,Odsonne Edouard
238049,Paxton Pomykal
216352,Marcelo Brozović
228295,Rob Holding
252339,Tiago Emanuel Embaló Djaló
224179,Borja Iglesias Quintas
241671,Dominik Livaković
226380,Hee Chan Hwang
138412,James Milner
214947,Jean-Philippe Gbamin
234728,László Bénes
247185,Ante Palaversa
190815,Daley Blind
198706,Luis Alberto Romero Alconchel
192119,Thibaut Courtois
184941,Alexis Sánchez
217940,Dakonam Djené
216409,Matteo Politano
246309,Miguel Mariz Luís
239800,Steven Sessegnon
240900,Unai Núñez Gestoso
204963,Daniel Carvajal Ramos
242879,Maarten Vandevoordt
244374,Mykola Shaparenko
236792,Tomáš Souček
244288,Adam Idah
226754,Ismaël Bennacer
193348,Xherdan Shaqiri
248874,Nicolò Armini
238616,Pedro Lomba Neto
174543,Claudio Bravo
193080,David De Gea Quintana
231340,Gonzalo Montiel
236935,Hannes Wolf
215698,Mike Maignan
184087,Toby Alderweireld
234777,Zack Steffen
181872,Arturo Vidal
247641,Mateus Tetê
230869,Unai Simón Mendibil
213655,Alex Iwobi
163587,Kasper Schmeichel
242280,Lewis Ferguson
235973,Sebastian Szymański
251198,Ellis Simms
168651,Ivan Rakitić
225085,Jonathan Bamba
234236,Patrik Schick
215449,Robert Skov
254089,Rodrigo Vieira Fernandes
205452,Antonio Rüdiger
208128,Hakan Çalhanoğlu
225161,Jesús Vallejo Lázaro
230977,Miguel Almirón
234711,Josip Brekalo
200610,Kevin Volland
240683,Ludovit Reis
230065,Suat Serdar
182521,Toni Kroos
204970,Florian Thauvin
156519,Héctor Herrera
181458,Ivan Perišić
225713,Jean-Kévin Augustin
240969,Julián Carranza
237560,Moussa Djenepo
236378,Alessandro Plizzari
214092,Alexey Miranchuk
229582,Gianluca Mancini
176676,Marcelo Vieira da Silva
178603,Mats Hummels
220477,Mattia Caldara
183394,Moussa Sissoko
221087,Pau López Sabata
226627,Takumi Minamino
202651,Jesús Joaquín Fernández Sáez
235008,Lucas Robertone
247377,Marcos Antonio Silva Santos
233097,Rick van Drongelen
198329,Rodrigo Moreno Machado
184432,César Azpilicueta Tanco
247876,Robbe Quirynen
204233,Charly Musonda
235424,Diadie Samassékou
243275,Lars Lukas Mai
238041,Tyrell Malacia
203042,Jack Butland
224490,Mehmet Zeki Çelik
228413,Emil Audero
199451,Wissam Ben Yedder
237239,Enis Bardhi
211748,Kerem Demirbay
221445,Lei Wu
228941,André Miguel Valente da Silva
207863,Felipe Augusto de Almeida Monteiro
242660,Jordan Beyer
186627,Mario Balotelli
199189,Ross Barkley
231887,Yusuf Yazıcı
170890,Blaise Matuidi
234577,Diogo Meireles Costa
236529,Steven Alzate
222501,Timothy Castagne
225793,Ben Godfrey
205989,Calum Chambers
225375,Konrad Laimer
221832,Lucas Olaza
226078,Mahmoud Hassan
41,Andrés Iniesta Luján
205070,Cristian Portugues Manzanera
231240,Emre Mor
223197,Enes Ünal
228509,Jeff Reine-Adélaïde
246002,Luke Matheson
211575,André Filipe Tavares Gomes
246863,Felix Nmecha
210455,Jonathan Castro Otto
187961,José Paulo Bezerra M. Júnior
220253,Munir El Haddadi
230918,Trevoh Chalobah
231416,Dodi Lukébakio
212150,Max Meyer
238095,Nikola Milenković
220031,Oliver McBurnie
220523,Yerry Mina
230613,Amadou Diawara
246666,Noah Katterbach
210406,Piotr Zieliński
223697,Robin Gosens
207993,Sead Kolašinac
227536,Moussa Marega
191202,Nemanja Matić
211784,Neal Maupay
212623,Santiago Mina Lorenzo
201455,Geoffrey Kondogbia
224258,Kristoffer Ajer
200949,Lucas Rodrigues M. Silva
224334,Marcos Acuña
214394,Wilmar Barrios
193747,Jorge Resurrección
250961,Joshua Zirkzee
240099,Kevin Rüegg
207439,Leandro Paredes
227647,Maximilian Mittelstädt
216435,Stanislav Lobotka
236316,Yan Valery
246861,Alessio Riccardi
242434,Curtis Jones
240289,Fernando Calero Villa
180206,Miralem Pjanić
219932,Antonio Sanabria
235997,Francisco José Beltrán Peinado
177610,Javier Martínez Aginaga
228708,Lucas Martínez Quarta
216003,Bartosz Kapustka
172871,Jan Vertonghen
224656,Ola Aina
189505,Pedro Rodríguez Ledesma
215639,Robert Kenedy Nunes do Nascimento
190813,Stephan El Shaarawy
211368,Armindo Tué Na Bangna
244778,Francisco Mota Castro Trincão
243055,Rafael Euclides Soares Camacho
212616,Rodrigo Javier De Paul
227950,Yeray Álvarez López
196978,Callum Wilson
195086,Dejan Lovren
224263,Jonjoe Kenny
223033,Jorge Meré Pérez
225024,Mason Holgate
210617,Samuel Castillejo Azuaga
244892,Sofiane Diop
193283,Thomas Delaney
243349,Dylan Levitt
237034,Juan Camilo Hernández
239380,Noa Lang
232244,Santiago Ascacíbar
232669,Sarpreet Singh
245940,Silas Wamangituka
225699,Anuar Mohamed Tuhami
198032,Dan Burn
252000,Domagoj Bradarić
252793,Taylor Harwood-Bellis
244380,Vitaliy Mykolenko
238463,Amadou Haidara
189881,Chris Smalling
240787,Hamed Junior Traorè
146536,Jesús Navas González
200746,John Lundstram
207862,Matthias Ginter
246203,Stiven Plaza
229476,Waldemar Anton
247028,Alex Král
189513,Daniel Parejo Muñoz
217699,Islam Slimani
54050,Wayne Rooney
186942,İlkay Gündoğan
240334,Zech Medley
244280,Adrian Fein
192563,Bernd Leno
226093,Che Adams
213629,Erick Pulgar
207566,William Silva de Carvalho
198951,Cédric Bakambu
229752,Djibril Sow
231436,Grady Diangana
232862,Shoya Nakajima
232938,Takehiro Tomiyasu
233631,Amath Ndiaye
215502,Bartłomiej Drągowski
182493,Diego Godín
225539,Dominic Solanke
192598,Kesen Ai
192774,Kostas Manolas
222737,Malcom Filipe Silva de Oliveira
201922,Martin Hinteregger
220714,Philip Billing
202429,Danny da Costa
212722,DeAndre Yedlin
235794,Eberechi Eze
245309,Egidio Maestre Schetino
202335,Eric Dier
248386,Gustavo Enrique Assunção da Silva
220093,Hans Hateboer
242755,John Yeboah
221618,Lys Mousset
199767,Marco van Ginkel
242238,Oumar Solet
233934,Aaron Ramsdale
226260,Andrea Cistana
208093,Gerard Moreno Balagueró
167664,Gonzalo Higuaín
162347,João Filipe Moutinho
192638,Marcos Alonso Mendoza
233943,Ronaldo Augusto Vieira Nan
230481,Ronaldo Jailson Cabrais Petri
179516,Rouwen Hennings
193082,Juan Cuadrado
231969,Ruslan Malinovskyi
247832,Thierry Rendall Correia
243014,Bryan Mbeumo
206518,Callum Robinson
229682,Dael Fry
238071,Dujon Sterling
229764,Iñigo Córdoba Kerejeta
213991,Jefferson Lerma
185422,Joshua King
183907,Jérôme Boateng
239482,Wenderson Nascimento Galeno
240017,Andreas Skov Olsen
229980,César Montes
236583,Jiří Pavlenka
167495,Manuel Neuer
212692,Marcos Paulo Mesquita Lopes
198009,Mattia Perin
244884,Matías Pellegrini
242641,Rayan Aït Nouri
235813,Răzvan Marin
242841,Arvin Appiah
231247,Braian Cufré
169416,Carlos Vela
138956,Giorgio Chiellini
192629,Iago Aspas Juncal
244592,Julian von Moos
238068,Marco Richter
230872,Mile Svilar
244206,Nehuén Pérez
242999,Álex Collado Gutiérrez
247497,Armel Bella-Kotchap
233201,Chris Mepham
189575,Iker Muniain Goñi
240915,Juan Miranda González
207790,Kaan Ayhan
192366,Nicolás Otamendi
204639,Stefan Savić
236480,Yves Bissouma
215716,Aleksandar Mitrović
216354,Andrej Kramarić
241637,Aurélien Tchouaméni
233795,Ben Brereton
241947,Francis Amuzu
244523,Javier Hernández Carrera
195365,Kevin Kampl
227927,Kyle Walker-Peters
198077,Patrick Herrmann
201155,Ravel Morrison
234202,Ché Nunnely
234575,Diogo Filipe Pinto Leite
152729,Gerard Piqué Bernabeu
204935,Jordan Pickford
230294,Lourival Adnan Beretta Barbosa
205186,Paulo Gazzaniga
231826,Yann Karamoh
248808,Aaron Hickey
234112,Domilson Cordeiro dos Santos
208448,Emil Forsberg
189362,Givanildo Vieira de Souza
235619,Marcus Edwards
178509,Olivier Giroud
232639,Ritsu Doan
246047,Andrés Perea
242516,Cody Gakpo
212626,Davie Selke
242856,Efrain Alvarez
243478,Enzo Loiodice
203775,Loris Karius
240716,Mathías Olivera
226211,Roger Krug Guedes
223724,Stefan Lainer
195093,Willian José da Silva
203551,Alessandro Florenzi
199042,Charles Aránguiz
234867,Daniel Arzani
251752,Lucas Chevalier
227234,Lucas Tousart
198861,Nampalys Mendy
231227,Niklas Dorsch
237043,Roberto Alvarado
237139,Tashan Oakley-Boothe
248474,Tino Anjorin
236276,Arnaut Danjuma Groeneveld
241390,Eljif Elmas
248465,Ian Maatsen
204525,Iñigo Martínez Berridi
241810,Juan Brandáriz Movilla
234925,Kik Pierie
223273,Mario Pašalić
239249,Oriol Busquets Mas
185020,José María Callejón Bueno
198950,Pablo Sarabia García
236245,Alberth Elis
216349,Alen Halilović
237310,Demetri Mitchell
252144,Eduardo Filipe Quaresma
210864,Elseid Hysaj
208618,Lucas Vázquez Iglesias
236786,Martin Terrier
